fips,ir_wfrto,ir_recww,cluster_model2,color
13001,4.19,0.0,27,red
13003,1.7,0.0,27,red
13005,4.07,0.0,27,red
13007,23.55,0.0,43,red
13009,0.05,0.0,27,red
13011,0.13,0.0,27,red
13013,0.51,0.0,0,red
13015,2.05,0.0,27,red
13017,3.27,0.0,27,red
13019,5.44,0.0,27,red
13021,1.08,0.0,27,red
13023,6.04,0.0,0,red
13025,0.04,0.0,27,red
13031,4.93,0.0,27,red
13033,17.9,0.0,27,red
13035,0.25,0.0,27,red
13037,16.79,0.0,27,red
13043,2.03,0.0,27,red
13045,0.3,0.0,0,red
13047,0.7,0.0,0,red
13053,0.0,0.0,27,red
13055,0.0,0.0,27,red
13057,2.19,0.0,38,red
13059,1.42,0.0,0,red
13321,23.49,0.0,43,red
13065,0.43,0.0,27,red
13067,1.37,0.0,38,red
13069,8.98,0.0,0,red
13071,20.22,0.0,43,red
13073,0.71,0.0,0,red
13075,7.9,0.0,27,red
13077,1.35,0.0,38,red
13079,1.26,0.0,27,red
13081,14.59,0.0,27,red
13083,0.0,0.0,27,red
13085,0.13,0.0,27,red
13089,1.48,0.0,38,red
26001,0.12,0.0,27,red
26165,1.97,0.0,0,red
26069,0.32,0.0,0,red
26015,3.63,0.0,27,red
26023,19.01,0.0,27,red
26025,6.32,0.0,27,red
26027,30.69,0.0,43,red
26035,0.23,0.0,27,red
26037,2.06,0.0,27,red
26039,0.4,0.0,0,red
26043,0.16,0.0,27,red
26045,0.24,0.0,27,red
26049,0.34,0.0,0,red
26051,0.0,0.0,27,red
26057,6.84,0.0,27,red
26059,3.66,0.0,27,red
26065,0.62,0.0,27,red
26067,1.77,0.0,27,red
26071,0.09,0.0,27,red
26073,8.23,0.0,0,red
26075,5.49,0.0,0,red
26077,15.65,0.0,0,red
26079,4.76,0.0,27,red
26081,6.23,0.0,38,red
26085,0.0,0.0,27,red
26087,0.32,0.0,27,red
26091,1.21,0.0,0,red
26093,1.16,0.0,38,red
26101,1.52,0.0,0,red
26107,10.88,0.0,0,red
26111,0.22,0.0,27,red
26113,4.5,0.0,27,red
26117,36.13,0.0,43,red
26119,0.17,0.0,27,red
26123,4.41,0.0,27,red
26125,3.94,0.0,22,red
26129,0.22,0.0,27,red
26133,0.68,0.0,27,red
26135,0.21,0.0,27,red
26137,1.94,0.0,0,red
37093,1.06,0.0,0,red
37001,3.32,0.0,38,red
37003,2.05,0.0,0,red
37005,1.87,0.0,0,red
37007,2.8,0.0,27,red
37009,3.06,0.0,27,red
37011,5.1,0.0,38,red
37021,1.93,0.0,38,red
37025,1.96,0.0,0,red
37033,1.57,0.0,27,red
37035,3.35,0.0,38,red
37037,2.37,0.0,38,red
37039,0.33,0.0,27,red
37043,0.36,0.0,27,red
37045,1.43,0.0,38,red
37051,5.84,0.0,38,red
37057,2.91,0.0,0,red
37059,1.18,0.0,0,red
37063,2.17,0.0,38,red
37065,4.34,0.0,0,red
37067,4.0,0.0,22,red
37069,2.47,0.0,0,red
37071,1.51,0.0,38,red
37075,0.12,0.0,27,red
37077,1.17,0.0,27,red
37079,4.98,0.0,27,red
37081,7.92,0.0,22,red
37083,3.31,0.0,0,red
37087,1.24,0.0,0,red
37089,4.85,0.0,38,red
37097,5.7,0.0,38,red
37105,1.96,0.0,0,red
37109,1.53,0.0,0,red
37113,0.85,0.0,0,red
37115,1.06,0.0,27,red
37119,6.6,0.0,48,red
37121,0.73,0.0,27,red
37123,3.8,0.0,0,red
37125,9.02,0.0,48,red
37197,0.6,0.0,0,red
37135,2.29,0.0,0,red
37145,1.28,0.0,27,red
37147,5.08,0.0,38,red
37151,3.81,0.0,38,red
37153,1.03,0.0,27,red
37155,6.92,0.0,0,red
37157,3.05,0.0,38,red
37165,2.78,0.0,0,red
37167,1.39,0.0,0,red
37169,1.16,0.0,0,red
37171,4.61,0.0,38,red
37173,0.2,0.0,27,red
37175,4.52,0.0,0,red
37179,3.12,0.0,38,red
37181,1.68,0.0,0,red
37183,9.28,0.0,48,red
37185,0.89,0.0,27,red
37189,0.73,0.0,0,red
37193,0.67,0.0,0,red
37195,4.63,0.0,0,red
37199,1.37,0.0,27,red
37127,4.24,0.0,0,red
37159,4.1,0.0,38,red
39001,0.01,0.0,27,red
39003,0.34,0.0,0,red
39005,0.06,0.0,27,red
39009,0.02,0.0,27,red
39011,0.09,0.0,27,red
39013,0.02,0.0,27,red
39015,0.01,0.0,27,red
39017,0.3,0.0,27,red
39019,0.04,0.0,27,red
39021,1.15,0.0,27,red
39023,4.73,0.0,0,red
39175,0.01,0.0,27,red
39027,0.09,0.0,27,red
39029,0.25,0.0,27,red
39031,0.36,0.0,27,red
39033,0.06,0.0,27,red
39037,0.12,0.0,27,red
39039,0.14,0.0,27,red
39041,1.17,0.0,0,red
39045,0.37,0.0,0,red
39047,0.04,0.0,27,red
39049,1.6,0.0,38,red
39051,0.07,0.0,27,red
39053,0.0,0.0,27,red
39057,1.98,0.0,27,red
39059,0.02,0.0,27,red
39061,0.28,0.0,27,red
39063,0.15,0.0,27,red
39065,0.0,0.0,27,red
39067,0.0,0.0,27,red
39069,0.03,0.0,27,red
39073,0.0,0.0,27,red
39075,0.0,0.0,27,red
39077,0.95,0.0,27,red
39079,0.0,0.0,27,red
39081,0.08,0.0,27,red
39083,0.53,0.0,27,red
39087,0.0,0.0,27,red
39089,0.3,0.0,0,red
39091,0.0,0.0,27,red
39093,6.37,0.0,0,red
39097,0.02,0.0,27,red
39099,0.22,0.0,27,red
39101,0.2,0.0,27,red
39103,0.73,0.0,0,red
39105,0.0,0.0,27,red
39107,0.08,0.0,27,red
39109,1.03,0.0,0,red
