fips,to_wtotl,ps_wtotl,cluster_model3,color
26129,2.52,0.38,4,red
26133,4.43,1.37,4,red
26135,0.87,0.07,4,red
26137,4.51,1.11,4,red
37093,6.93,4.42,4,red
37001,22.58,15.35,31,red
37003,4.06,0.03,4,red
37005,3.06,0.31,4,red
37007,14.96,8.8,31,red
37009,5.57,0.67,4,red
37011,28.84,1.57,4,red
37021,278.98,21.12,42,red
37025,23.0,17.54,39,red
37033,3.52,0.43,4,red
37035,859.29,4.29,30,purple
37037,31.04,25.42,31,red
37039,17.2,1.73,4,red
37043,1.22,0.21,4,red
37045,20.85,12.26,31,red
37051,45.09,35.85,39,red
37057,18.79,14.9,31,red
37059,5.69,3.58,4,red
37063,31.77,27.74,39,red
37065,9.11,3.29,4,red
37067,60.9,48.46,11,red
37069,6.89,0.95,4,red
37071,409.3,25.08,36,red
37075,90.9,0.67,21,red
37077,6.61,2.99,4,red
37079,8.48,1.07,4,red
37081,63.7,48.12,11,red
37083,32.31,7.6,31,red
37087,56.76,5.92,21,red
37089,18.99,11.05,31,red
37097,22.75,11.54,31,red
37105,11.08,7.41,31,red
37109,11.71,6.63,4,red
37113,574.73,2.07,6,red
37115,3.09,0.93,4,red
37119,2785.62,112.24,38,purple
37121,3.01,1.07,4,red
37123,7.61,2.25,4,red
37125,18.51,6.78,31,red
37197,15.01,1.36,4,red
37135,13.98,8.78,31,red
37145,770.64,2.53,30,purple
37147,23.71,13.64,31,red
37151,26.4,16.76,31,red
37153,15.4,9.87,31,red
37155,32.71,21.28,39,red
37157,21.41,11.41,31,red
37165,7.26,3.1,4,red
37167,9.54,6.4,4,red
37169,1269.47,0.3,46,purple
37171,29.75,4.41,4,red
37173,30.29,0.5,4,red
37175,210.13,1.81,42,red
37179,17.15,6.57,0,red
37181,9.7,5.95,4,red
37183,102.56,56.66,5,red
37185,1.71,0.05,4,red
37189,5.57,3.3,4,red
37193,12.87,6.61,31,red
37195,15.83,9.62,31,red
37199,3.01,0.7,4,red
37127,16.34,9.13,31,red
37159,24.89,9.64,31,red
39001,493.88,2.05,6,red
39003,27.56,18.17,31,red
39005,5.83,2.99,4,red
39009,8.8,7.51,31,red
39011,9.62,5.27,4,red
39013,11.55,7.61,31,red
39015,5.3,3.06,4,red
39017,79.88,50.69,11,red
39019,2.94,0.84,4,red
39021,8.82,2.49,4,red
39023,24.46,16.17,39,red
39175,8.02,0.95,4,red
39027,2.97,0.88,4,red
39029,13.58,9.18,31,red
39031,38.95,6.59,31,red
39033,5.45,2.41,4,red
39037,9.37,3.0,4,red
39039,10.11,3.4,4,red
39041,23.88,19.66,39,red
39045,14.33,9.2,31,red
39047,4.32,1.99,4,red
39049,188.31,155.82,44,orange
39051,4.36,2.54,4,red
39053,969.66,3.47,30,purple
39057,16.82,8.98,31,red
39059,8.24,5.45,4,red
39061,241.06,114.75,44,red
39063,15.13,11.28,31,red
39065,5.24,2.23,4,red
39067,2.72,0.6,4,red
39069,11.16,2.96,4,red
39073,3.18,1.67,4,red
39075,6.61,1.8,4,red
39077,7.16,5.54,4,red
39079,1.73,1.47,4,red
39081,1796.87,8.77,35,purple
39083,11.3,5.47,4,red
39087,13.71,5.43,31,red
39089,20.68,12.57,31,red
39091,7.03,2.8,4,red
39093,420.39,42.42,36,red
39097,4.27,2.05,4,red
39099,6.49,4.3,4,red
39101,11.23,6.14,4,red
39103,9.61,3.01,4,red
