fips,ps_wtotl,do_psdel,state,cluster_model1,color
18163,17.4,12.87,IN,264,red
18161,0.35,0.28,IN,278,red
18159,0.91,0.57,IN,15,red
18157,12.84,11.21,IN,287,red
18155,1.04,0.64,IN,15,red
18153,1.36,1.29,IN,166,red
18151,1.36,0.79,IN,170,red
18149,0.61,0.4,IN,278,red
18147,1.97,1.09,IN,179,red
18145,5.66,1.59,IN,101,red
18143,3.33,1.67,IN,162,red
18141,21.76,14.57,IN,268,red
18139,0.99,0.59,IN,15,red
18175,2.44,1.44,IN,52,red
18135,2.18,1.03,IN,179,red
18133,4.03,1.7,IN,162,red
18131,0.38,0.32,IN,278,red
18129,1.0,1.0,IN,170,red
18127,15.84,8.87,IN,160,red
18125,1.01,0.81,IN,15,red
18123,0.33,1.22,IN,293,red
18121,0.93,0.63,IN,15,red
18119,1.4,0.59,IN,276,red
18117,0.0,0.86,IN,217,red
18115,0.74,0.4,IN,278,red
18113,2.3,1.59,IN,52,red
18111,0.56,0.47,IN,278,red
18109,10.52,3.03,IN,143,red
18107,3.61,1.71,IN,162,red
18105,15.78,10.44,IN,256,red
18103,2.66,1.55,IN,52,red
18101,0.63,0.56,IN,15,red
19163,17.82,10.28,IA,18,red
19161,1.14,0.56,IA,276,red
19159,0.0,0.18,IA,111,red
19157,1.33,0.93,IA,170,red
19155,15.02,5.24,IA,115,red
19153,56.09,29.16,IA,232,purple
19151,0.48,0.31,IA,278,red
19149,3.34,1.08,IA,290,red
19147,0.78,0.43,IA,278,red
19145,1.78,0.79,IA,243,red
19143,4.3,0.25,IA,289,red
19141,2.31,0.7,IA,258,red
19139,28.94,2.28,IA,94,red
19137,1.45,0.5,IA,276,red
19135,0.0,0.29,IA,111,red
19133,0.82,0.39,IA,278,red
19131,0.75,0.4,IA,278,red
19129,0.87,0.53,IA,15,red
19127,5.01,2.19,IA,225,red
19125,2.91,1.76,IA,122,red
19123,2.58,1.2,IA,290,red
19121,0.36,0.82,IA,217,red
19119,2.41,0.73,IA,258,red
19117,0.47,0.34,IA,278,red
19115,0.49,0.44,IA,278,red
19113,41.89,13.17,IA,72,red
19111,12.38,2.07,IA,241,red
19109,1.25,0.65,IA,276,red
19107,1.24,0.44,IA,276,red
19103,10.04,8.5,IA,112,red
19101,1.6,0.83,IA,170,red
19097,1.1,0.75,IA,15,red
51137,2.08,1.5,VA,52,red
51157,0.03,0.02,VA,111,red
51165,14.75,2.96,VA,139,red
51171,2.57,1.8,VA,122,red
51187,9.08,1.44,VA,239,red
51003,13.29,5.67,VA,115,red
51177,11.05,6.98,VA,247,red
51015,7.5,3.21,VA,163,red
51069,5.27,3.31,VA,231,red
51079,0.63,0.8,VA,15,red
51047,2.33,1.84,VA,122,red
51043,0.5,0.47,VA,278,red
51113,0.0,0.17,VA,111,red
51139,1.27,0.97,VA,170,red
54065,0.55,0.55,WV,15,red
54037,2.7,2.39,WV,282,red
54031,3.01,0.42,WV,258,red
54003,5.97,4.38,WV,131,red
24013,7.05,5.43,MD,242,red
24027,0.01,19.18,MD,164,red
51107,6.86,27.08,VA,177,red
51091,0.1,0.05,VA,111,red
54071,0.31,0.26,WV,111,red
51061,3.1,3.0,VA,234,red
24001,0.67,5.26,MD,198,red
54057,1.57,1.26,WV,166,red
54023,0.97,0.75,WV,15,red
51660,0.0,3.91,VA,296,red
51820,2.38,1.68,VA,122,red
51840,0.0,2.18,VA,103,red
51790,0.0,1.9,VA,293,red
13213,1.89,1.89,GA,250,red
13211,1.34,0.56,GA,276,red
13209,0.18,0.18,GA,111,red
13207,1.58,1.39,GA,166,red
13205,3.77,0.99,GA,289,red
13201,0.26,0.14,GA,111,red
13199,0.31,0.74,GA,217,red
13197,1.41,0.92,GA,170,red
13195,0.53,0.35,GA,278,red
13189,2.59,1.14,GA,290,red
13187,1.27,0.69,GA,170,red
13185,13.16,7.2,GA,192,red
13181,0.01,0.01,GA,111,red
13175,3.54,1.96,GA,162,red
13173,0.36,0.31,GA,278,red
13171,1.87,1.36,GA,166,red
13169,2.73,1.29,GA,290,red
13167,0.53,0.19,GA,278,red
13165,0.45,0.28,GA,278,red
13319,0.7,0.48,GA,278,red
13161,0.9,0.56,GA,15,red
13293,3.02,1.8,GA,122,red
13193,1.03,0.56,GA,276,red
